Name,Description,Template
Sendwithus,turn your email provider into growth marketing platform templates tests drip campaigns segments and analytics mailgun sendgrid mandrill and sparkpost ,6
AmpUp,airbnb evcharging ,5.2
COUTURME,we custom design and produce women's formal dresses starting with the wedding gowns we can do that without designers and pattern makers by using own cad software ,5.2
SketchDeck,design on demand ,6
Snapdocs, powers homeownership ,6
StackLead,lead intelligence service we want to be your personal lead consultantsemail us at founders com and we'll help you generate and prioritize leads ,6
Style Lend,p dress rental ,2
Taplytics,make product decisions driven by your customers   is an intelligent customer experience cloud specializing in turning firsttime users into lifetime customers through magical moments ,6
Terravion,"real time google earth agriculture  imagery collected weekly during the growing season by aircraft

 collects     more mapped area in any week month the whole electric drone industry combined ",4
Akido Labs, is data technology company leading the transformation of healthcare and government institutions into modern datadriven organizations by building and connecting human services data networks we'll create the equitable world we envision ,3.2
Threadable,"mailing lists    
 makes group email less noisy and more actionable ",6
TrueVault, is the first data security company entirely focused on protecting consumers' personal data enterprises ,6
Two Tap," connects retailers to companies that want to sell their products in apps or sites domestic or internationally

 crossborder is riskfree retailers and it allows anyone outside of the us to order products     of us stores ",2
CredPal, is modern credit card company in africa that allows consumers make purchases and pay in monthly installments across online and offline merchants ,5.2
Unicornly, makes fundraising more efficient both angel investors and entrepreneurs angels  brings deal flow and community of experts companies  helps attract investors and lead them efficiently toward close ,6
Vidpresso,we help media companies brands and celebrities create high quality broadcasts facebook  ,4
Whirlscape,mobile keyboards   emoji   deep learning we make dango we also made the minuum keyboard ,6
Wit ai,"natural language developers 
api that makes it easy developers to create apps that you can talk and text to it turns speech or text into actionable data ",2
Cuanto,helping latin american sellers get paid via whatsapp and instagram ,5.2
Zesty, serves delicious healthy meals the best local restaurants to your office ,1
Zidisha,direct p lending across the international wealth divide ,4
Zinc,the secret backbone of ecommerce the  api knows all products sale on the internet and lets you buy them ,1
ZowPow,wireless toy game controllers mobile games ,6
Kalshi, is prediction market where people can trade on anything with anyone it can be on questions  will brexit happen by the end of the month?  to  who will win the oscars?   ,4
Amulyte,remote monitoring   activity tracking system seniors  ,4
YSplit, charges roommates their share of the bills separately once month ,5.2
Arcus,api payments anywhere in the world ,4
Aalo,legolike furniture design geeks we create furniture that's hackable reusable and customizable to fit your space perfectly no matter how many times you move  ,5.2
CowryWise, is wealth management platform young africans with platform they can plan and automate their savings and investments towards meeting their financial goals,5.2
BloomThat,uber flowers ,6
Automate Ads,on mission to programmatically automate optimize and unify your digital advertising campaigns with incredible software ,2
Butter Systems,replacing the paper restaurant menu with an interactive experience at the table ,2
Buttercoin,bitcoin marketplace ,6
Casetext,we make the world's laws free and understandable  ,6
CoreOS,enterprise linux distribution that dramatically improves security and speed of application deployment ,6
Cratejoy, is the platform subscriptions ,6
hypcloud,a techenabled commercial mortgage broker  allows property developers to borrow amounts between  and   banks  ,5.2
Datarank,making sense of social data ,6
DoorDash,restaurant delivery ,6
EasyPost,shipping api ,6
Echo Locker,android lock screen ,2
iLabService,monitoring   analytics lab services ,5.2
Floobits,realtime collaborative editing in the browser with support sublime vim and emacs focused right now on remote pair programming ,6
Glio,amazon marketplace latin america ,4
Kinside,child care employee benefits ,5.2
Graft Concepts, makes unique iphone cases and other mobile accessories ,2
Hackermeter,replacing resume screening with code challenges ,6
Hum,a chat program that integrates with email with presence ,1
Qurasense, empower women to proactively track their health ,5.2
Sterblue,software drones to inspect power lines and wind turbines ,5.2
Synvivia, develops engineered organisms that safely and effectively treat disease ,5.2
Kivo,git documents ,4
Layer By Layer,"a marketplace  printable products  just like the itunes app store but  printing 

we don't sell physical products and we don't sell design files but rather we sell single prints  ",2
Bagaveev Corporation,launch small satellites ,3.2
Lob, is on mission to make the world programmable we offer two core api products  print   mail and address verification which enable developers to automate the offline world ,1
LocalOn,web marketing smbs   merchants associations ,6
Ubits,lyndacom latin america ,5.2
Meta,augmented reality glasses ,1
One Month, affordable online bootcamps teach people how to code in just  topics include python ruby on rails javascript and frontend development full list of courses,2
Panorama Education,data analytics public schools ,2
RealCrowd,crowdinvesting real estate ,6
Reebee,flyer app ,6
ZiffyHomes, is  technology driven home rental marketplace  to make lives better we are property management solution offering ready to movein individual rooms to tenants long stays and freedom to move across homes ,5.2
SimpleLegal,legal spend matter accrual and ip management software inhouse counsel ,6
SoundFocus,we are giving you       hearing when listening to the devices you already own and love  no hardware required  ,6
SpoonRocket,meals delivered in    minutes ,6
StackMachine,instant sandboxed server environments ,6
Standard Treasury,banking apis,2
StatusPage,the best way to communicate with users around downtime ,6
Teleborder,dashboard companies to manage immigration their employees ,6
True Link,diversified financial services seniors ,2
BioRender,the adobe creative suite life sciences ,5.2
Watchsend,videos of your ios apps ,6
WebCake,marketing people modify site ,6
Webflow,dynamic website builder ,6
Weilos,weight loss coaching ,6
Airware, provides endtoend solutions that enable enterprises to digitize their business and turn aerial data into actionable business intelligence ,6
Appcubator,the easiest way to prototype web applications ,6
BeatDeck,"music metrics meritocracy 
 upload music connect your social media accounts receive metrics perfect yourself and predict success  ",6
Flinto,pay friends merchants and services in mexico through your phone even without bank account ,5.2
BuildZoom," is better way to remodel we connect homeowners to the most reliable general contractors in their area and make remodeling simpler cheaper and more predictable
 ",6
Cheetah, is the fastest easiest and most affordable way small business owners to order their supplies with same day or next day delivery ,1
CircuitLab,browserbased electronics simulations and schematics software ,6
Coin,a mobile wallet that allows you to pay everywhere credit cards are accepted   ,1
Necto,isp starter kit ,5.2
Nectome,building way to preserve longterm memories ,5.2
Experiment,funding and collaboration platform science ,1
Fivetran,data infrastructure service ,6
FlightCar," is the airbnb of car rentals at airports
we allow people to rent their car out to other travelers while they are gone so they get free airport parking and make money renters get cheaper rental we also provide   of insurance ",6
Goldbelly,we make the most regionally famous and downright awesome foods across the country available delivery to anywhere in these united states ,6
OSIMple,software inspectors to automate their paper workflow  ,5.2
Heap, automatically captures every user interaction in your mobile or web app letting you generate analytics without writing code or waiting data ,1
InfluxData, is building the platform collecting storing visualizing and processing time series data at scale ,6
Ovipost, automates insect production ,5.2
Psylaris,we use vr to automate mental health techniques mobile vr app reduces negative mood anxiety and stress without the need therapist using insights neuroscience and psychology we improve your mental state and performance ,4
Lawdingo, provides virtual paralegal services to law firms ,6
SharpestMinds,we connect top students and recent grads to businesses internships in machine learning that lead to fulltime jobs  ,6
Lollipuff,online auctions authentic  women's  designer goods ,6
tEQuitable," helps companies get in front of and prevent harassment we are an independent confidential platform to address issues of bias discrimination and harassment in the workplace
 ",5.2
MedXT,radiology in the cloud  xrays cat scans mri's and ultrasounds,4
Meldium,simple password   identity management teams,6
North,wearable computing hardware  biosignal gesture recognition ,1
Padlet,easiest way to put stuff on the internet ,6
PayTango,simple invoicing ,6
Posmetrics,ultrashort feedback surveys on tablets mounted in businesses higher response rates allow more powerful data analytics ,6
Prophecy Sciences,predicting workplace performance through neuroscience ,2
RADAR, is building technology to completely transform the instore experience retail employees and customers alike  ,1
Veriff,stripe online identity verification ,5.2
Screenhero,collaborative screen sharing you each get your own mouse and you're both always in control ,6
ZBiotics, is synthetic biology company that bioengineers probiotic bacteria nutraceutical and other applications ,5.2
SimplyInsured,"we make it simple to buy health insurance online

don't get confused by deductibles   coinsurances  we give you straightforward costs your medical needs ",6
Strikingly,the easiest way to create beautiful mobile optimized website ,1
StyleUp, brings effortless joy to getting dressed with daily weatherappropriate advice tailored to suit your life and style  ,6
Swapbox,stop missing deliveries ship to  and pick up at kiosks ,6
Swish,kickstarter physical products  shop exclusive product launches ,1
Teespring,retail quality products ondemand  is platform that enables anyone to create and sell unique apparel and items that people love with no cost or risk  ,6
Zyper,"recreating social networks brands
  ",4
70MillionJobs,the internet's first forprofit recruitment platform people with criminal records we match ignored talent  community of one million   with jobs that companies can't fill ,5.2
